locator_domain,page_url,location_name,street_address,city,state,zip,store_number,phone,latitude,longitude,hours_of_operation,country_code,location_type
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,3608 WEST CHESTER PIKE,NEWTOWN SQ,PA,19073,90273,,39.98668,-75.39953,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,1001 PULASKI HWY,HVRE DE GRACE,MD,21078,90443,,39.54638,-76.10681,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,1327 POLICY DR,BELCAMP,MD,21017,90234,,39.477975,-76.24914,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,513 WASHINGTON AVE,CHESTERTOWN,MD,21620,91814,,39.22107,-76.068371,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,2201 PULASKI HWY,EDGEWOOD,MD,21040,90574,,39.436485,-76.306384,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,1712 PULASKI HWY,EDGEWOOD,MD,21040,90528,,39.43448,-76.32075,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,630 NW FRONT ST,MILFORD,DE,19963,90530,,38.91558,-75.44207,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,5250 CAMPBELL BLVD,NOTTINGHAM,MD,21236,90557,,39.369354,-76.453417,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,8809 BELAIR RD,NOTTINGHAM,MD,21236,90314,,39.394377,-76.485508,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,601 COMPASS RD,MIDDLE RIVER,MD,21220,90176,,39.3434,-76.44931,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,9300 HARFORD RD,PARKVILLE,MD,21234,90577,,39.39095,-76.52807,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,17580 COASTAL HWY,LEWES,DE,19958,90588,,38.748412,-75.170762,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,2400 E JOPPA RD,PARKVILLE,MD,21234,90358,,39.39836,-76.53579,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,701 EASTERN BLVD,ESSEX,MD,21221,90159,,39.31033,-76.47096,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,220 EASTERN BLVD,ESSEX,MD,21221,90279,,39.30612,-76.48095,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,1601 E JOPPA RD,TOWSON,MD,21286,90485,,39.39654,-76.56758,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,6019 BELAIR RD,BALTIMORE,MD,21206,90249,,39.34795,-76.53838,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,212 GRANGE HALL RD,QUEENSTOWN,MD,21658,91702,,38.95604,-76.07609,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,6901 LOCH RAVEN BLVD,TOWSON,MD,21286,90134,,39.38543,-76.57645,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,7500 PULASKI HWY,ROSEDALE,MD,21237,90584,,39.31257,-76.52551,,US,fuel
picknsave.com,https://www.picknsave.com/stores/search?searchText=19125,BP,40 E TIMONIUM RD,LUTHVLE TIMON,MD,21093,90533,,39.44249,-76.62349,,US,fuel
